A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-0.191191 -0.362221 -0.353102 -0.35462
-0.189189 -0.353529 -0.344377 -0.345595
-0.187187 -0.344785 -0.3356 -0.336519
-0.185185 -0.33599 -0.326771 -0.327391
-0.183183 -0.327145 -0.31789 -0.318213
-0.181181 -0.318252 -0.30896 -0.308985
-0.179179 -0.309312 -0.299981 -0.299711
-0.177177 -0.300324 -0.290954 -0.290389
-0.175175 -0.291292 -0.28188 -0.281023
-0.173173 -0.282215 -0.272761 -0.271612
-0.171171 -0.273095 -0.263597 -0.262158
-0.169169 -0.263932 -0.25439 -0.252663
-0.167167 -0.254729 -0.24514 -0.243127
-0.165165 -0.245485 -0.23585 -0.233552
-0.163163 -0.236203 -0.226519 -0.223939
-0.161161 -0.226882 -0.217149 -0.21429
-0.159159 -0.217525 -0.207741 -0.204605
-0.157157 -0.208133 -0.198297 -0.194887
-0.155155 -0.198706 -0.188817 -0.185135
-0.153153 -0.189245 -0.179303 -0.175352
-0.151151 -0.179753 -0.169756 -0.165539
-0.149149 -0.170229 -0.160177 -0.155697
-0.147147 -0.160676 -0.150567 -0.145828
-0.145145 -0.151093 -0.140927 -0.135932
-0.143143 -0.141484 -0.131259 -0.126011
-0.141141 -0.131848 -0.121564 -0.116066
-0.139139 -0.122186 -0.111843 -0.1061
-0.137137 -0.112501 -0.102097 -0.096112
-0.135135 -0.102793 -0.0923273 -0.0861046
-0.133133 -0.0930629 -0.0825355 -0.0760789
-0.131131 -0.0833125 -0.0727226 -0.0660363
-0.129129 -0.0735429 -0.0628898 -0.055978
-0.127127 -0.0637551 -0.0530383 -0.0459053
-0.125125 -0.0539505 -0.0431695 -0.0358198
-0.123123 -0.0441302 -0.0332846 -0.0257226
-0.121121 -0.0342954 -0.0233848 -0.0156152
-0.119119 -0.0244474 -0.0134713 -0.00549884
-0.117117 -0.0145873 -0.00354551 0.00462506
-0.115115 -0.00471632 0.00639142 0.0147552
-0.113113 0.00516424 0.0163382 0.0248901
-0.111111 0.0150532 0.0262935 0.0350286
-0.109109 0.0249493 0.0362562 0.0451692
-0.107107 0.0348514 0.0462249 0.0553105
-0.105105 0.0447582 0.0561983 0.0654513
-0.103103 0.0546684 0.0661752 0.0755902
-0.101101 0.0645809 0.0761544 0.0857258
-0.0990991 0.0744945 0.0861344 0.0958568
-0.0970971 0.0844079 0.0961141 0.105982
-0.0950951 0.0943198 0.106092 0.116099
-0.0930931 0.104229 0.116067 0.126208
-0.0910911 0.114134 0.126038 0.136307
-0.0890891 0.124035 0.136004 0.146395
-0.0870871 0.133928 0.145962 0.15647
-0.0850851 0.143815 0.155913 0.16653
-0.0830831 0.153692 0.165854 0.176576
-0.0810811 0.163559 0.175785 0.186604
-0.0790791 0.173415 0.185703 0.196615
-0.0770771 0.183258 0.195609 0.206606
-0.0750751 0.193088 0.2055 0.216576
-0.0730731 0.202903 0.215375 0.226524
-0.0710711 0.212701 0.225233 0.236449
-0.0690691 0.222482 0.235073 0.246349
-0.0670671 0.232244 0.244893 0.256224
-0.0650651 0.241987 0.254693 0.26607
-0.0630631 0.251708 0.26447 0.275889
